Name;Followers;Ubication;Visiting Ubications;Style
sb_ink_official;1982;Jammu;;Realism
ash_tattoo_rochester;9975;Rochester;;Realism
candybrainink;1428;Northfield;;Realism
neira.artist;1863;Ceske-Budejovice;Prague Frydek-Mistek;Linework
artist._afra;3202;Brussels;;Cartoon
tattoosbynickaustin;1786;Fogelsville;;Neo-traditional
teixeira_tattoo;2798;Alvorada;;Linework
yafitisakov;1888;Akko;Berlin Amsterdam;Patch
derbiq.tattoo;1618;Leba;;Outline
novakkart;1969;Leba;Mallorca;Abstract
matheusstattoo;10849;Barreiras;;Illustrative
alzeda.tattoo;2126;Caen;Lyon Le-Havre Lille Nantes Paris;Abstract
brina.ttt;1231;York;Lancaster Seoul Hanover Daegu Gimpo;Linework
fagnercamuflagemreparatoria;1307;Santa-Cruz-do-Sul;;Small
ellaholotova;1829;Cardiff;;Aesthetic
benzotattoo;3754;Bangkok;Washington-D.C. New-York Las-Vegas Paris;Realism
louisedowsettt;2096;Toulouse;Paris;Aesthetic
_shrimpink_;3178;Lille;Nantes;Linework
palittroche;1046;Guamuchil;;Small
facu.tats;2337;Denver;Mendoza New-York Cordoba;Neo-traditional
toni.ti.red;1159;Moscow;;Blackwork
beyondflesh;2750;Berlin;;Abstract
_ghoul.ink;3774;Istanbul;;Sketch
jack_deez;5873;New-York;;Watercolor
tattooelpechu_07;1312;San-Vicente;;Realism
steveinktattoo;3803;Milan;;Realism
loonecreation;1999;Dordogne;;Linework
bieldovalle;1905;Liverpool;Bray;Old-School
blackbeetattoo_cz;3266;Rokycany;;Sketch
_silvio.paladino_;3656;Campagna;;Small
_lurch_middlefingers_magoo_;1019;North-Bay;;Abstract
cleovlamingart;2012;Amsterdam;;Linework
wil0tattoo;21271;San-Sebastian;Gijon Madrid Barcelona Padua Seville Malaga Bilbao Bordeaux Zurich Berlin San-Jose Panama Maldonado Los-Angeles Sidney Lisboa;Abstract
lanenafinaart;4686;Cordoba;;Linework
cholostattooarte;10858;Brasilia;;Linework
lpt.tattoo;1017;Odesa;;Linework
vampatattoo;9846;Puebla;;Realism
mistrzowietattoo_plock;2389;Plock;;New-school
royal.inkcg;1622;Campo-Grande;;Blackwork
andreiatorres_astrea;1447;Porto;;Linework
aliroma_art_tattoo;1047;Rome;;Aesthetic
spicygonz;3395;Montreal;;New-school
treve_azrael;2921;Penzance;;Aesthetic
dude_skinz_integrity;3134;Wakefield;;Anime
yenhua.ink;2713;San-Jose;;Trash-Polka
gokchelito;8256;Ankara;;Aesthetic
melmadetattoos;1581;Stafford;;Cartoon
tattoo.sahar.ardebil;4211;Ardebil;;Small
xandertats;1034;Wakefield;;Trash-Polka
blackdropsink;1396;Florence;;Blackwork
handpoke.koshanti;4597;Saint-Petersburg;Moscow;Aesthetic
elocktattoo;1866;Meier;;Blackwork
mares_tattooist;82284;Barcelona;;Traditional
tattoosbychanel;10654;Cape-Town;Johannesburg;Watercolor
ashley_perrier;3602;Winnipeg;;Blackwork
norabelvei;1425;Barcelona;;Realism
steve_maycock_tattoos;2798;Conroe;Sacramento;Realism
mirkodipompeo;3103;Sanremo;;Blackwork
virlaneduardtattoo;14482;Bucharest;;Trash-Polka
kyra.nako;4491;Winnipeg;;Aesthetic
lucy.moana;27331;Hamburg;Cologne Padua Frankfurt Stuttgart Dresden Munich Kassel;Aesthetic
miren_the_forest_witch__;20180;Tolouse;Lyon;Other
tatsbyambs;1046;Southend-on-Sea;;Small
stetattoos86;1007;Darlington;;Neo-traditional
artinadadu;1657;Julich;;Linework
boujee.tattoos;2579;Hamburg;;Small
kshinetattoos;1669;Asheville;;Other
thomas_tatuajes;6358;Salt-Lake-City;;Traditional
